Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS,F,Birth Application,18
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS,M,Birth Application,11
2015,January  ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS,M,Birth Application,8
2015,January  ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS,M,Birth Application,14
2015,January  ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,6
2015,January  ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,28
2015,January  ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,13
2015,January  ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,32
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,66
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,70
2015,January  ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,10
2015,January  ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,21
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,109
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,139
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,79
2015,January  ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,8
2015,January  ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,8
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,124
2015,January  ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,15
2015,January  ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,4
2015,January  ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,36
2015,January  ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,8
2015,January  ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,29
2015,January  ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,14
2015,January  ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,17
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,92
2015,January  ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,17
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,8
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,14
2015,January  ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,12
2015,January  ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,12
2015,January  ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,7
2015,January  ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,4
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,95
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,25
2015,January  ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,1
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,3
